Level,SubCategory,Jobs,TopRank,DistinctRanks,TotalItems,SampleItem
2,309,0,1,1,5,"Nomad Cloak"
3,303,12,1,1,5,"Horned Helm"
3,303,14,1,1,5,"Leather Cap"
3,303,15,1,1,5,"Magician's Hat"
3,303,17,1,1,5,"Round Helm"
3,304,12,1,1,5,"Hide Armor"
3,304,14,1,1,5,"Breast Armor"
3,304,15,1,1,5,"Apprentice's Coat"
3,304,17,1,1,5,"Sage's Robe"
3,304,0,1,1,5,"Traveler's Vest"
3,305,0,1,1,5,"Village Shirt"
3,306,12,1,1,5,"Leather Gloves"
3,306,14,1,1,5,"Worker Gloves"
3,306,15,1,1,5,"Bronze Bangles"
3,306,17,1,1,5,"Entry Gloves"
3,307,12,1,1,5,"Battle Greaves"
3,307,14,1,1,5,"Leather Bottoms"
3,307,15,1,1,5,"Leather Shoes"
3,307,17,1,1,5,"Entry Boots"
3,309,0,1,1,5,"Shed Cloak"
4,309,0,1,1,5,"Shoulder Cape"
5,201,1,2,1,5,"Landing Sword"
5,203,7,2,1,5,"Battle Sword"
5,204,5,2,1,5,"Oval Shield"
5,207,3,2,1,5,"Stalking Bow"
5,208,9,2,1,5,"Mergitur"
5,209,8,2,1,5,"Gnosir"
5,211,4,2,1,5,"Blue Cane"
5,212,6,2,1,5,"Ferocious Horn"
5,305,0,1,1,5,"Composite Vest"
5,308,0,1,1,5,"Seeker Tights"
5,309,0,1,1,5,"Wanderer's Muffler"
6,202,1,2,1,5,"Pelta"
6,205,5,2,1,5,"Spike Rod"
6,303,12,2,1,5,"Bronze Helm"
6,303,14,2,1,5,"Leather Hood"
6,303,15,2,1,5,"Neophyte's Hood"
6,303,17,2,1,5,"Garrison's Helmet"
6,303,0,2,1,5,"Trouvère Band"
6,304,12,2,1,5,"Bronze Plate"
6,304,14,2,1,5,"Copper Lorica"
6,304,15,2,1,5,"Hallowed Robe"
6,304,17,2,1,5,"Garrison's Jacket"
6,304,0,2,1,5,"Common Silhouette Vest"
6,305,0,2,1,5,"Traveler's Shirt"
6,306,12,2,1,5,"Bronze Guard"
6,306,14,2,1,5,"Bronze Bracers"
6,306,15,2,1,5,"Tiger Bangles"
6,306,17,2,1,5,"Hard Knuckles"
6,306,0,2,1,5,"Combat Hands"
6,307,12,2,1,5,"Bronze Shoes"
6,307,14,2,1,5,"Chainmail Legs"
6,307,15,2,1,5,"Neophyte's Boots"
6,307,17,2,1,5,"Garrison's Boots"
6,307,0,2,1,5,"Combat Bottoms"
6,308,0,2,1,5,"Tight Pants"
6,309,0,2,1,5,"Scholar Cloak"
6,426,0,2,1,6,"Fluorite Earrings"
7,303,0,2,1,5,"Stéphanos"
7,304,0,2,1,5,"Light Sleeves"
7,305,0,2,1,5,"Bandage Clothes"
7,306,0,2,1,5,"Mighty Gloves"
7,307,0,2,1,5,"Leather High Boots"
7,308,0,2,1,5,"Village Pants"
7,309,0,2,1,5,"Brown Cape"
8,201,1,2,1,5,"Mace"
8,203,7,2,1,5,"Judge's Hammer"
8,204,5,2,1,5,"Battle Shield"
8,206,2,2,1,5,"Slit Daggers"
8,207,3,2,1,5,"Composite Longbow"
8,209,8,2,1,5,"Bronze Bogen"
8,211,4,2,1,5,"Palm Flower"
8,212,6,2,1,5,"Palm Trees"
8,303,12,2,1,5,"Wolf Head"
8,303,0,2,1,5,"Hard Leather Mask"
8,303,15,2,1,5,"Cleric's Cap"
8,303,17,2,1,5,"Blue-edged Helm"
8,303,14,2,1,5,"Coif"
8,304,12,2,1,5,"Scale Coat"
8,304,15,2,1,5,"Missionary's Robe"
8,304,17,2,1,5,"Regal Coat"
8,304,14,2,1,5,"Chest Guard"
8,304,0,2,1,5,"Tied Belt"
8,305,0,2,1,5,"Blessing Vest"
8,306,12,2,1,5,"Scale Arm"
8,306,15,2,1,5,"Rune Bangles"
8,306,17,2,1,5,"Knuckle Guard"
8,306,14,2,1,5,"Master Bracers"
8,307,0,2,1,5,"Foppish Legs"
8,307,12,2,1,5,"Serpent's Whisker"
8,307,15,2,1,5,"Disciple's Shoes"
8,307,17,2,1,5,"Shinguards"
8,307,14,2,1,5,"Hide Cuisses"
8,308,0,2,1,5,"Traveler's Tights"
8,309,0,2,1,5,"Feather Cloak"
9,305,0,2,1,5,"Linen Tunic"
9,308,0,2,1,5,"Cotton Hose"
9,309,0,2,1,5,"Wind Cloak"
10,212,6,9,1,5,"Olfring Wand (Blue)"
10,309,0,2,1,5,"Basic Cape"
11,201,1,3,1,5,"Makhaira"
11,202,1,3,1,5,"Novice Shield"
11,203,7,3,1,5,"Claymore"
11,204,5,3,1,5,"Monolith"
11,205,5,3,1,5,"Strike Rod"
11,206,2,3,1,5,"Brise-épéé"
11,207,3,3,1,5,"Strain"
11,208,9,3,1,5,"Solitus"
11,209,8,3,1,5,"Kenn-brecher"
11,211,4,3,1,5,"Hermit Wand"
11,212,6,3,1,5,"Magician's Thought"
11,303,12,3,1,5,"Bronze Sallet"
11,303,15,3,1,5,"Magician's Hood"
11,303,17,3,1,5,"Intellect Helm"
11,303,14,3,1,5,"Plate Coif"
11,303,0,3,1,5,"Leather Stole"
11,304,0,3,1,5,"Leader's Vest"
11,304,12,3,1,5,"Half Cuirass"
11,304,15,3,1,5,"Magician's Coat"
11,304,17,3,1,5,"Elite Drapes"
11,304,14,3,1,5,"Battle Jacket"
11,305,0,3,1,5,"Fisherman's Shirt"
11,306,0,3,1,5,"Knight's Gloves"
11,306,12,3,1,5,"Bronze Gauntlet"
11,306,15,3,1,5,"Common Bangles"
11,306,17,3,1,5,"Elite Gloves"
11,306,14,3,1,5,"Iron Manicae"
11,307,0,3,1,5,"Folded Boots"
11,307,12,3,1,5,"Bronze Sabatons"
11,307,15,3,1,5,"Sky Blue Waistguard"
11,307,17,3,1,5,"Elite Legs"
11,307,14,3,1,5,"Mercenary Leg-Guards"
11,308,0,3,1,5,"Fisherman's Pants"
11,309,0,3,1,5,"Knight's Cape"
11,426,0,3,1,10,"Rabbit Insignia Ring"
12,213,10,3,1,5,"Broad Spear"
12,303,0,3,1,5,"Thief's Mask"
12,304,0,3,1,5,"Trooper's Vest"
12,305,0,3,1,5,"Leather Breastplate"
12,306,0,3,1,5,"Chrome Knuckles"
12,307,0,3,1,5,"Victory High Boots"
12,308,0,3,1,5,"Durable Pants"
12,309,0,3,1,5,"Knight's Mantle"
13,202,1,3,1,5,"Strength"
13,205,5,3,1,5,"Cathedral Fire"
13,303,14,3,1,5,"Traveler's Hood"
13,303,15,3,1,5,"Healer's Hood"
13,303,17,3,1,5,"Noble's Helm"
13,303,0,3,1,5,"Incognito Mask"
13,303,12,3,1,5,"Kyklôps Head"
13,304,12,3,1,5,"Dread Armor"
13,304,14,3,1,5,"Leather Armor"
13,304,15,3,1,5,"Jongleur's Wrap"
13,304,17,3,1,5,"Noble Jacket"
13,304,0,3,1,5,"Compass Wrap"
13,305,0,3,1,5,"Doublet"
13,306,12,3,1,5,"Emblem Arms"
13,306,14,3,1,5,"Archer's Gloves"
13,306,15,3,1,5,"Magician's Bangles"
13,306,17,3,1,5,"Noble Arm"
13,307,12,3,1,5,"Copper Greaves"
13,307,14,3,1,5,"Smart Boots"
13,307,15,3,1,5,"Grass-Green Shoes"
13,307,17,3,1,5,"Noble Greaves"
13,307,0,3,1,5,"Over-Knee Boots"
13,308,0,3,1,5,"Basic Hose"
13,309,0,3,1,5,"Desert Cloak"
14,201,1,3,1,5,"Strong Hatchet"
14,203,7,3,1,5,"Iraklis"
14,204,5,3,1,5,"Knight's Honor"
14,206,2,3,1,5,"Snake Daggers"
14,207,3,3,1,5,"Custom Longbow"
14,209,8,3,1,5,"Doppel Schütze"
14,211,4,3,1,5,"Power of Pawn"
14,212,6,3,1,5,"Magic in the Cage"
14,305,0,3,1,5,"Trooper Suit"
14,308,0,3,1,5,"Walker Tights"
14,309,0,3,1,5,"Traveler's Cloak"
15,201,1,7,1,10,"Cross Rapier of Sparks"
15,202,1,7,1,10,"Ring Buckler of Sparks"
15,203,7,9,1,5,"Sword of Lightning (Red)"
15,204,5,7,1,10,"Gazing Glow of Sparks"
15,207,3,7,1,10,"Flood Ray of Sparks"
15,209,8,7,1,5,"Mark of the Wicked Blood Staff"
15,212,6,7,1,10,"Twin Wisdom of Sparks"
15,309,0,3,1,5,"Jet Black Muffler"
16,202,1,4,1,5,"Muscular Wall"
16,205,5,4,1,5,"Power Rod"
16,208,9,4,1,5,"Fremitu"
16,303,14,4,1,5,"Red Leather Cap"
16,303,15,4,1,5,"Halo of Beginning"
16,303,17,4,1,5,"Sentry Helm"
16,303,12,4,1,5,"Wolverine Head"
16,303,0,4,1,5,"Robber's Mask"
16,304,12,4,1,5,"Gaudy Armor"
16,304,14,4,1,5,"Lamellar Jacket"
16,304,15,4,1,5,"Dalmatica"
16,304,17,4,1,5,"Calm Robe"
16,304,0,4,1,5,"Raider's Vest"
16,305,0,4,1,5,"Country Shirt"
16,306,12,4,1,5,"Gaudy Bracers"
16,306,14,4,1,5,"Laborer Gloves"
16,306,15,4,1,5,"Aura Bangles"
16,306,17,4,1,5,"Powered Gloves"
16,306,0,4,1,5,"Master Hands"
16,307,12,4,1,5,"Gaudy Greaves"
16,307,14,4,1,5,"Composite Bottoms"
16,307,15,4,1,5,"Sagacity Shoes"
16,307,17,4,1,5,"Sentry Boots"
16,307,0,4,1,5,"Lively Bottoms"
16,308,0,4,1,5,"Strong Pants"
16,309,0,4,1,5,"Pharmacy Mantle"
16,426,0,4,1,9,"Deer Insignia Ring"
17,201,1,4,1,5,"Thousand Troops"
17,203,7,4,1,5,"Sharp Column"
17,204,5,4,1,5,"Woody Magick"
17,206,2,4,1,5,"Gladius"
17,207,3,4,1,5,"White Wolf Bow"
17,209,8,4,1,5,"Mageia Kyklos"
17,211,4,4,1,5,"Staff of Magickal Restraint"
17,212,6,4,1,5,"Spiral Wand"
17,303,0,4,1,5,"Executioner's Mask"
17,304,0,4,1,5,"Flowing Sleeves"
17,305,0,4,1,5,"Chainmail"
17,306,0,4,1,5,"Titan's Gloves"
17,307,0,4,1,5,"Purity Legs"
17,308,0,4,1,5,"Oldies Pants"
17,309,0,4,1,5,"Cloak of Wonder"
18,202,1,4,1,5,"Vanguard"
18,205,5,4,1,5,"Sanction Rod"
18,303,12,4,1,5,"Barrel Helm"
18,303,15,4,1,5,"Sorcerer's Hat"
18,303,17,4,1,5,"Pleasant Helm"
18,303,14,4,1,5,"Chain Hood"
18,303,0,4,1,5,"Scholar's Circlet"
18,304,12,4,1,5,"Copper Mail"
18,304,15,4,1,5,"Wonder Coat"
18,304,17,4,1,5,"Vigorous Coat"
18,304,14,4,1,5,"Iron Lorica"
18,304,0,4,1,5,"Vigor Binder"
18,305,0,4,1,5,"Lady's Corset"
18,306,12,4,1,5,"Braintan Gloves"
18,306,15,4,1,5,"Beast Bangles"
18,306,17,4,1,5,"Vigorous Arms"
18,306,14,4,1,5,"Marine's Sleeves"
18,307,12,4,1,5,"Copper Sabatons"
18,307,15,4,1,5,"Nostalgia Waistguard"
18,307,17,4,1,5,"Vigorous Legs"
18,307,14,4,1,5,"Iron Legs"
18,307,0,4,1,5,"Highland Boots"
18,308,0,4,1,5,"Island Pants"
18,309,0,4,1,5,"Inspector's Cape"
19,201,1,4,1,5,"Iron Sword"
19,204,5,4,1,5,"Scutum"
19,206,2,4,1,5,"Snagdaggers"
19,207,3,4,1,5,"Red Pine Bow"
19,209,8,4,1,5,"Quellenkraft"
19,211,4,4,1,5,"Copper Cane"
19,212,6,4,1,5,"Mage Wand"
19,305,0,4,1,5,"Bronze Scale"
19,308,0,4,1,5,"Chain Hose"
19,309,0,4,1,5,"Cloak of Vows"
20,206,2,8,1,5,"Blade of Insight (Black)"
20,303,12,4,1,5,"Sorel Helm"
20,303,14,4,1,5,"Headgear"
20,303,15,4,1,5,"Sacred Hood"
20,303,17,4,1,5,"Shielder Helm"
20,304,12,4,1,5,"Solemn Armor"
20,304,14,4,1,5,"Ranger Jacket"
20,304,15,4,1,5,"Sacred Robe"
20,304,17,4,1,5,"Shielder Coat"
20,306,12,4,1,5,"Solemn Arms"
20,306,14,4,1,5,"Ranger Gloves"
20,306,15,4,1,5,"Sacred Bangles"
20,306,17,4,1,5,"Shielder Arms"
20,307,12,4,1,5,"Solemn Legs"
20,307,14,4,1,5,"Ranger Cuisses"
20,307,15,4,1,5,"Sacred Greaves"
20,307,17,4,1,5,"Shielder Legs"
20,309,0,4,1,5,"Dark Plume Cloak"
21,201,1,5,1,5,"Cutlass"
21,202,1,5,1,5,"Feathery Pelta"
21,204,5,5,1,5,"Brilliance"
21,205,5,5,1,5,"Hell's Pain"
21,206,2,5,1,5,"Bardiche Daggers"
21,207,3,5,1,5,"Bloody Hide"
21,208,9,5,1,5,"Sinceritatis"
21,209,8,5,1,5,"Morgenglühen"
21,211,4,5,1,5,"Dawn Staff"
21,212,6,5,1,5,"Crescent Wand"
21,303,0,5,1,5,"Legacy Band"
21,304,0,5,1,5,"Lestanian Vest"
21,305,0,5,1,5,"Chain Bracers"
21,306,0,5,1,5,"Greed Gloves"
21,307,0,5,1,5,"High-Grade Bottoms"
21,308,0,5,1,5,"Strong Banded"
21,309,0,5,1,5,"Gryphus Mantle"
21,426,0,5,1,8,"Paired Stone Earrings"
22,303,12,5,1,5,"Battle Helm"
22,303,14,5,1,5,"Assassin's Mask"
22,303,15,5,1,5,"Spike Head"
22,303,17,5,1,5,"Quest Helm"
22,303,0,5,1,5,"Hood of Longing"
22,304,12,5,1,5,"Rock Armor"
22,304,14,5,1,5,"Hunter Jacket"
22,304,15,5,1,5,"Shaman's Robe"
22,304,17,5,1,5,"Majesty Drapes"
22,304,0,5,1,5,"Officer's Sleeves"
22,305,0,5,1,5,"Gambeson"
22,306,12,5,1,5,"Murg Armguards"
22,306,14,5,1,5,"Composite Sleeves"
22,306,15,5,1,5,"Sorcery Bangles"
22,306,17,5,1,5,"Buster Knuckles"
22,307,12,5,1,5,"Red Greaves"
22,307,14,5,1,5,"Assassin's Bottoms"
22,307,15,5,1,5,"Prayer Breeches"
22,307,17,5,1,5,"Valor Legs"
22,307,0,5,1,5,"Walker Boots"
22,308,0,5,1,5,"White Thigh-highs"
22,309,0,5,1,5,"Beast Cape"
23,201,1,5,1,5,"Power Beak"
23,202,1,5,1,5,"Shield of the White Knights"
23,203,7,5,1,5,"Warblade"
23,204,5,5,1,5,"Rare Wooden Wall"
23,205,5,5,1,5,"Crowned Head"
23,206,2,5,1,5,"Throatcutters"
23,207,3,5,1,5,"Artisan Bow"
23,209,8,5,1,5,"Mondnacht Schütteln"
23,211,4,5,1,5,"Nature's Whole"
23,212,6,5,1,5,"Fierce Horn"
23,303,0,5,1,5,"Delusion Mask"
23,304,0,5,1,5,"General's Vest"
23,305,0,5,1,5,"Bliaut"
23,308,0,5,1,5,"Brown Tied"
23,309,0,5,1,5,"Guardian's Cape"
24,213,10,5,1,5,"Hasta"
24,303,12,5,1,5,"Brute Armet"
24,303,14,5,1,5,"Wanderer's Hood"
24,303,15,5,1,5,"Mentor's Cap"
24,303,17,5,1,5,"Another Eyes"
24,304,12,5,1,5,"Vice Cuirass"
24,304,14,5,1,5,"Wanderer's Jacket"
24,304,15,5,1,5,"Ocean Robe"
24,304,17,5,1,5,"Strong Jacket"
24,305,0,5,1,5,"Steady Vest"
24,306,12,5,1,5,"Wild Gauntlet"
24,306,14,5,1,5,"Striker Arms"
24,306,15,5,1,5,"Charm Bangles"
24,306,17,5,1,5,"Strong Arms"
24,307,12,5,1,5,"Wild Sabatons"
24,307,14,5,1,5,"Striker's Greaves"
24,307,15,5,1,5,"Prodigy's Shoes"
24,307,17,5,1,5,"Strong Legs"
24,308,0,5,1,5,"Black Gaiters"
24,309,0,5,1,5,"Arisen's Mantle"
25,201,1,5,1,5,"Bastard Sword"
25,203,7,10,1,5,"Sword of Lightning (Blue)"
25,204,5,5,1,5,"Megalith"
25,207,3,5,1,5,"Fluted Bow"
25,208,9,10,1,5,"Olfring Seiðr (Black)"
25,209,8,5,1,5,"Schild und Sühne"
25,211,4,5,1,5,"Illusionist"
25,212,6,5,1,5,"Magickal Branch"
25,305,0,5,1,5,"Wanderer's Shirt"
25,309,0,5,1,5,"Cloak of Nostalgia"
26,202,1,6,1,5,"Shield of Oaths"
26,203,7,6,1,5,"Iron Urchin"
26,205,5,6,1,5,"Twinkle Venus"
26,208,9,6,1,5,"Ferrum Gravis"
26,303,12,6,1,5,"Battle Sallet"
26,303,14,6,1,5,"Over Guard"
26,303,15,6,1,5,"Saintly Hood"
26,303,17,6,1,5,"Sergeant's Helm"
26,303,0,6,1,5,"Pirate's Mask"
26,304,12,6,1,5,"Grand Surcoat"
26,304,14,6,1,5,"Silver Lorica"
26,304,15,6,1,5,"Sorcerer's Coat"
26,304,17,6,1,5,"Valiant Coat"
26,304,0,6,1,5,"Passion Pareo"
26,305,0,6,1,5,"Maiden's Camisole"
26,306,12,6,1,5,"Smoky Gloves"
26,306,14,6,1,5,"Victory Bracers"
26,306,15,6,1,5,"Mystic Bangles"
26,306,17,6,1,5,"Deft Gloves"
26,306,0,6,1,5,"Grand Hands"
26,307,12,6,1,5,"Iron Greaves"
26,307,14,6,1,5,"Victory Legs"
26,307,15,6,1,5,"Pleats of Sorcery"
26,307,17,6,1,5,"Mudguards"
26,307,0,6,1,5,"Artisan's Boots"
26,308,0,6,1,5,"Silky Stretch Lingerie"
26,309,0,6,1,5,"Wiseman Cloak"
26,426,0,6,1,11,"Fire Gem Choker"
27,201,1,6,1,5,"Broadsword"
27,204,5,6,1,5,"Blue Kite"
27,206,2,6,1,5,"Vouge Daggers"
27,207,3,6,1,5,"Ranke Bogen"
27,209,8,6,1,5,"Glücksrad"
27,211,4,6,1,5,"Sky Anchor"
27,212,6,6,1,5,"Eclipse"
27,303,0,6,1,5,"Laurel Circlet"
27,304,0,6,1,5,"Power Tracer"
27,305,0,6,1,5,"Battalion Suit"
27,307,0,6,1,5,"Smart Line Boots"
27,308,0,6,1,5,"Skintight Pants"
27,309,0,6,1,5,"Victory Cape"
28,202,1,6,1,5,"Alpine Pelta"
28,205,5,6,1,5,"Beacon of Mahler"
28,303,12,6,1,5,"Sturdy Helm"
28,303,14,6,1,5,"Enamel Hood"
28,303,15,6,1,5,"Prayer Hood"
28,303,17,6,1,5,"Showdown Helm"
28,304,12,6,1,5,"Sturdy Plate"
28,304,14,6,1,5,"Combat Guard"
28,304,15,6,1,5,"Combat Robe"
28,304,17,6,1,5,"Showdown Jacket"
28,305,0,6,1,5,"Brigandine"
28,306,12,6,1,5,"Sturdy Guard"
28,306,14,6,1,5,"Ace Bracers"
28,306,15,6,1,5,"Compact Bangles"
28,306,17,6,1,5,"Battle Arms"
28,307,12,6,1,5,"Sturdy Cuisses"
28,307,14,6,1,5,"Nature Cuisses"
28,307,15,6,1,5,"Faithful Waistguard"
28,307,17,6,1,5,"Battle Legs"
28,307,0,6,1,5,"Maiden's Petticoat"
28,308,0,6,1,5,"Combat Hose"
28,309,0,6,1,5,"Sergeant's Cloak"
29,201,1,6,1,5,"Morgenstern"
29,203,7,6,1,5,"Treispirinadir"
29,204,5,6,1,5,"Setzschild"
29,206,2,6,1,5,"Daciaensis"
29,207,3,6,1,5,"Liberty Bow"
29,209,8,6,1,5,"Aspro Neraida"
29,211,4,6,1,5,"Pilgrim's Cane"
29,212,6,6,1,5,"Sorcerer's Wand"
29,305,0,6,1,5,"Wrapped Clothes"
29,308,0,6,1,5,"Agent Tights"
29,309,0,6,1,5,"Militant Mantle"
30,303,12,6,1,5,"Serenity Helm"
30,303,14,6,1,5,"Huntsman Cap"
30,303,15,6,1,5,"Bellwether Hood"
30,303,17,6,1,5,"Guardian Helm"
30,303,0,8,1,25,"Fancy Dress: Ryu B"
30,303,13,12,1,5,"Rathalos Helm"
30,303,16,12,1,5,"Rathian Helm"
30,304,12,6,1,5,"Serenity Armor"
30,304,14,6,1,5,"Huntsman Jacket"
30,304,15,6,1,5,"Bellwether Robe"
30,304,17,6,1,5,"Guardian Coat"
30,304,13,12,1,5,"Rathalos Mail"
30,304,16,12,1,5,"Rathian Mail"
30,305,0,6,1,5,"Iron Scale"
30,306,12,6,1,5,"Serenity Arms"
30,306,14,6,1,5,"Huntsman Gloves"
30,306,15,6,1,5,"Bellwether Bangles"
30,306,17,6,1,5,"Guardian Arms"
30,306,13,12,1,5,"Rathalos Vambraces"
30,306,16,12,1,5,"Rathian Vambraces"
30,307,12,6,1,5,"Serenity Legs"
30,307,14,6,1,5,"Huntsman's Cuisses"
30,307,15,6,1,5,"Bellwether Greaves"
30,307,17,6,1,5,"Guardian Legs"
30,307,13,12,1,5,"Rathalos Greaves"
30,307,16,12,1,5,"Rathian Greaves"
30,308,0,6,1,5,"Bladeproof Hose"
30,309,0,6,1,5,"Eagle Mantle"
31,201,1,7,1,5,"Tight Cinquedea"
31,202,1,7,1,5,"Lustrous Shield"
31,204,5,7,1,5,"Embossed Head"
31,205,5,7,1,5,"Sign of Mercy"
31,206,2,7,1,5,"Heavenly Edge"
31,207,3,7,1,5,"Big Bow"
31,208,9,7,1,5,"Benedico Sole"
31,209,8,7,1,5,"Vortex Flow"
31,211,4,7,1,5,"Palm's Treetop"
31,212,6,7,1,5,"Twisted Serpent"
31,303,0,7,1,5,"Faerie Band"
31,304,0,7,1,5,"Monarch's Vest"
31,305,0,7,1,5,"Expedition Shirt"
31,306,0,7,1,5,"Loneliness Gloves"
31,307,0,7,1,5,"Dignity Boots"
31,308,0,7,1,5,"Gurkha Gaiters"
31,309,0,7,1,5,"Pauldron"
31,426,0,7,1,17,"Bull Insignia Ring"
32,201,1,7,1,5,"Biting Club"
32,203,7,7,1,5,"Flamberge"
32,204,5,7,1,5,"Bastion"
32,206,2,7,1,5,"Bushwackers"
32,207,3,7,1,5,"Devastator"
32,209,8,7,1,5,"Zauberkraft"
32,211,4,7,1,5,"Iron Staff"
32,212,6,7,1,5,"Valiant Horn"
32,303,12,7,1,5,"Fiend's Helmet"
32,303,14,7,1,5,"Vagrant's Mask"
32,303,15,7,1,5,"Atonement Cap"
32,303,17,7,1,5,"Advance Helm"
32,303,0,7,1,5,"Outlaw's Mask"
32,304,12,7,1,5,"Savage Armor"
32,304,14,7,1,5,"Vagrant Armor"
32,304,15,7,1,5,"Elder's Robe"
32,304,17,7,1,5,"Advance Coat"
32,304,0,7,1,5,"Freya Plate"
32,305,0,7,1,5,"Scale Breastplate"
32,306,12,7,1,5,"Gooseneck Arm"
32,306,14,7,1,5,"Soldier Arms"
32,306,15,7,1,5,"Iron Bangles"
32,306,17,7,1,5,"Custodian Arms"
32,307,12,7,1,5,"Savage Greaves"
32,307,14,7,1,5,"Soldier's Greaves"
32,307,15,7,1,5,"Elder's Boots"
32,307,17,7,1,5,"Custodian Boots"
32,307,0,7,1,5,"Goddess Petticoat"
32,308,0,7,1,5,"Tidy Thigh-highs"
32,309,0,7,1,5,"Survivor's Cape"
33,202,1,7,1,5,"Silver Thorn"
33,205,5,7,1,5,"Supernova"
33,303,0,7,1,5,"Advent Circlet"
33,304,0,7,1,5,"Justice Holder"
33,305,0,7,1,5,"Pourpoint"
33,308,0,7,1,5,"Belligerent Tied"
33,309,0,7,1,5,"Loftiness Cape"
34,201,1,7,1,5,"Falcata"
34,204,5,7,1,5,"Mark of the Advance"
34,206,2,7,1,5,"Triskele"
34,207,3,7,1,5,"Lustre Acanthus"
34,209,8,7,1,5,"Weiß Merkmale"
34,211,4,7,1,5,"Portal Indicator"
34,212,6,7,1,5,"Soul Harvest"
34,303,12,7,1,5,"Raptor Helm"
34,303,14,7,1,5,"Infantry Helm"
34,303,15,7,1,5,"Archmage's Hat"
34,303,17,7,1,5,"Accomplished Helm"
34,304,12,7,1,5,"Foul Armor"
34,304,14,7,1,5,"Vagabond Armor"
34,304,15,7,1,5,"Senior's Coat"
34,304,17,7,1,5,"Resolver Clothes"
34,305,0,7,1,5,"Honorary Knight's Suit"
34,306,12,7,1,5,"Raptor Gauntlets"
34,306,14,7,1,5,"Iron Bracers"
34,306,15,7,1,5,"Roar Bangles"
34,306,17,7,1,5,"Resolver Arms"
34,307,12,7,1,5,"Foul Greaves"
34,307,14,7,1,5,"Ninja Bottoms"
34,307,15,7,1,5,"Newcomer's Waistguard"
34,307,17,7,1,5,"Resolver Legs"
34,308,0,7,1,5,"Coquettish Backs"
34,309,0,7,1,5,"Saudade Muffler"
35,203,7,7,1,5,"Massive Hammer"
35,305,0,7,1,5,"Twin Cross Vest"
35,308,0,7,1,5,"Limber Metal Hose"
35,309,0,7,1,5,"Cavalier's Cloak"
36,201,1,8,1,5,"Captain's Soul"
36,202,1,8,1,5,"Mark of the Chimera"
36,204,5,8,1,5,"Valor Glare"
36,205,5,8,1,5,"Patriot Stone"
36,206,2,8,1,5,"Blitz Daggers"
36,207,3,8,1,5,"Hundred Miles"
36,208,9,8,1,5,"Locus Solus"
36,209,8,8,1,5,"Gunvoltzeit"
36,211,4,8,1,5,"Spellcasting"
36,212,6,8,1,5,"Pious Roots"
36,213,10,7,1,5,"Raging Red Spear"
36,303,12,8,1,5,"Lieutenant's Helm"
36,303,14,8,1,5,"Beast Coif"
36,303,15,8,1,5,"Crowned Hood"
36,303,17,8,1,5,"Grand Sage Cap"
36,303,0,8,1,5,"Victory Covert"
36,304,12,8,1,5,"Royal Surcoat"
36,304,14,8,1,5,"Beast Padding"
36,304,15,8,1,5,"Wizard's Robe"
36,304,17,8,1,5,"Tracer's Jacket"
36,304,0,8,1,5,"Silver Silk Pareo"
36,305,0,8,1,5,"Noir Gambeson"
36,306,12,8,1,5,"Sturdy Gauntlets"
